Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
3,40,880373,13,13,1332973,11762160,14
2,22,643104,99,781,1704208,8162286,13
2,22,546623,22,352,929654,1896147,5
3,26,565014,52,407,1174012,2944118,3
3,40,424306,133,173,2041840,5485573,5
3,26,299650,69,537,921492,3022543,7
1,6,190488,18,354,1195962,2492370,11
2,18,222606,36,747,561141,1028700,2
2,12,303300,18,414,384978,3105270,9
3,32,778773,64,608,1632341,5689354,9
3,28,558170,84,130,880926,3095204,11
2,8,227320,16,352,319048,2123772,1
3,36,477744,24,12,1781736,3537048,4
1,6,241458,12,342,527130,4263858,6
2,22,275605,55,715,1683418,4579333,3
3,35,309901,105,910,1344233,736260,5
1,3,188886,15,96,419520,1664100,3
2,9,326313,27,409,644265,3387771,3
2,11,394080,5,462,316899,2639549,11
2,21,743872,52,388,701253,693220,4
1,5,296220,35,45,919070,4827810,2
3,40,289040,26,520,1796053,4283693,5
2,10,230025,5,190,880935,4558090,8
3,39,323466,39,1235,2404220,12351612,13
3,32,497749,64,10,969386,10026570,9
1,6,319056,12,312,807624,609444,5
2,23,360904,80,724,958525,3791228,6
1,2,132296,10,74,163544,1677044,10
2,9,97699,18,238,396144,3062128,8
1,4,228144,28,236,602708,806804,6
2,17,249033,59,586,1042627,8494959,9
3,33,292589,110,1056,1503469,10313666,4
3,39,860613,117,1235,2554786,4033939,12
2,16,558536,32,272,1375472,3763360,14
3,29,526098,48,38,729330,1120212,12
3,39,708721,52,1131,2595112,9465417,9
3,32,466421,32,458,902336,6697002,10
3,32,701909,106,928,1763605,9539808,7
2,18,275283,27,585,1150164,8067357,5
2,13,409474,65,247,562198,2638928,13
2,12,302598,24,498,395556,3795300,2
2,7,77385,7,266,491312,2867147,12
3,40,816893,120,26,1283480,2652733,8
1,5,128865,50,35,611770,4497705,11
2,8,295112,12,248,541292,3415288,5
3,32,510389,106,234,1886965,1600426,5
3,26,290697,34,286,1421905,6076217,8
2,11,338805,11,154,395543,1295107,9
2,21,244041,10,378,874051,5212210,15
2,15,181440,52,187,1390800,6364957,5
3,27,191124,72,423,530910,6369291,4
1,3,164283,30,129,386865,2752419,15
2,7,165427,21,224,485908,2554996,2
3,25,213691,41,458,1054533,1678408,11
1,5,202335,10,375,852030,619795,13
3,30,283030,50,340,1118860,3013650,9
2,22,469854,11,583,1718431,10721271,3
1,5,310870,30,10,672460,1712605,11
2,20,212070,20,340,879400,8939450,5
2,7,220097,14,59,313750,1538701,1
3,36,565260,24,996,1623744,11175840,10
2,21,681366,10,493,1182594,2530510,14
3,30,446390,30,340,1395340,1901250,14
1,5,301325,5,285,744710,2519720,1
1,2,61072,6,200,201876,504512,13
2,18,624168,72,783,655650,7767837,7
3,40,355720,13,613,1239986,6410600,13
3,27,355734,54,756,1320732,5311089,13
3,25,467566,41,666,774783,2747191,8
1,3,62118,24,171,163566,1473588,6
3,40,321813,93,320,1079786,8058026,6
2,10,239900,50,20,370915,1413740,9
2,15,498465,52,30,859920,1331160,6
2,9,324544,27,99,399258,2867337,15
3,35,671976,81,548,1025651,761145,10
3,39,643682,104,429,931125,7164131,5
3,33,277299,66,550,1345003,2819762,5
1,6,425100,6,96,953634,2004660,5
3,31,745870,31,878,2012075,4001573,5
3,32,385856,32,501,782666,2461546,1
1,1,74962,3,88,110766,512560,15
3,37,917316,98,530,1823323,6225681,13
2,8,298280,32,52,519800,2127660,10
2,24,327984,36,132,1336704,11227320,9
3,26,235352,34,69,808270,5885368,6
2,11,227353,27,352,435721,2892994,8
2,11,191042,55,104,669570,2295843,10
1,6,308706,24,36,489138,5562534,4
2,22,314072,99,264,719147,3353075,15
2,11,342347,55,66,726148,2885514,10
2,19,490266,85,712,897693,2949218,3
2,9,332464,27,216,300667,2812279,8
2,21,222201,94,882,913111,8474424,3
1,5,124775,10,225,281725,2703230,5
3,40,722040,133,93,1560693,4082600,15
2,16,476384,32,792,1599648,1243536,6
2,16,491296,72,744,467136,2892256,9
3,33,500181,44,110,1579523,10821008,5
2,14,144438,28,630,1184218,6605564,6
2,14,222817,35,147,777735,4547249,9
2,17,503820,8,348,425671,2010802,6
2,15,559792,75,405,677925,3486810,12
3,30,270750,20,540,1136540,5190600,4
3,40,407680,40,400,1129880,6108360,6
2,11,177287,11,203,303781,4796759,9
3,25,378433,41,33,1356566,5984600,14
2,24,871032,84,624,601656,7699272,14
3,37,706305,61,1184,1616604,3662297,3
2,18,343341,45,531,778131,8218872,6
2,21,619647,63,766,1962649,8038863,14
2,21,556815,52,598,1865409,5060128,14
3,25,172133,66,733,611808,3304150,4
3,31,265752,72,475,1041620,7917234,8
3,26,357508,69,60,439062,8437156,2
2,16,277760,32,608,513968,5600472,2
3,27,531486,81,99,678240,7898724,1
1,2,130928,4,32,269446,1290794,9
3,26,370266,52,485,1579118,2876969,8
1,1,42729,10,69,99232,540301,2
2,13,331981,32,97,1013148,6472960,11
2,13,221721,39,253,718802,3724955,13
3,37,250477,111,777,1141117,9537465,5
1,3,114846,27,27,295119,1924896,5
2,23,585591,115,816,1912024,2069275,15
2,15,483000,75,435,1318890,5216902,1
3,25,478533,25,708,473733,1654050,5
2,21,466756,105,672,1686373,9983725,7
1,2,121528,2,82,312590,725372,1
3,29,522734,29,676,1609490,5476041,7
2,21,421155,73,420,1702953,4402954,13
2,15,272002,7,637,453870,1265475,3
3,32,779648,53,757,2117856,7608010,12
3,29,514701,9,918,1232219,4583691,1
1,4,212528,40,4,496296,1304896,15
2,9,120996,31,328,255460,564952,6
2,20,438420,20,50,668470,3411450,12
3,32,235722,10,277,1988789,6824330,4
2,14,270494,7,357,1080856,6799352,3
2,22,724218,44,341,1678963,2864972,13
3,36,605868,36,48,2032824,1140612,7
2,17,528989,76,637,1333862,2675859,11
3,37,511426,12,888,2159443,8309003,3
3,29,529868,29,783,1322264,3245950,5
3,32,433792,21,405,1657429,1783904,4
2,15,293205,75,412,678105,1035240,14
2,11,240515,11,544,390478,3196127,11
2,8,158516,32,156,400736,523296,7
2,20,708840,20,940,1249110,9363070,10
3,38,569594,88,1114,935040,5444678,8
1,3,101136,3,9,444333,1155276,11
2,8,200092,40,340,270156,1110636,2
3,25,310450,16,558,956700,2468950,7
3,34,565952,11,1110,1239436,6350735,6
3,37,322035,37,1221,1197702,709697,14
3,25,580900,33,191,1052750,6042425,15
3,27,203913,72,108,1385892,4205412,2
3,30,302010,50,290,1056870,9954930,3
2,9,325930,22,175,536971,2995398,14
3,37,888320,24,345,1143719,10112211,10
3,36,774780,72,468,888588,6089328,4
2,18,202608,72,486,1470357,714897,10
1,4,90940,40,72,515508,3378340,14
2,20,734540,50,810,1416630,3492600,10
1,5,307585,20,160,473275,3938535,7
1,3,99801,24,297,311055,868491,2
3,38,345825,114,418,2449733,8797456,11
3,36,371952,36,624,659016,9441504,4
3,38,464740,12,836,2232842,1215556,5
2,23,350267,69,356,1579628,8750522,2
1,3,213543,6,111,461820,1105569,4
3,32,282997,42,629,1144693,8391818,12
1,3,94641,6,282,391743,2405523,13
3,37,622759,12,49,1852553,4703403,4
2,12,161064,54,498,396246,5424006,1
3,28,223673,37,158,1148513,9329049,15
2,7,156100,3,325,482209,1310022,1
2,22,398607,66,1078,1045528,1731257,10
3,30,433990,80,760,914230,5008520,1
3,39,441519,78,1105,2232074,8437585,4
3,38,393464,25,430,2283356,9010724,6
2,17,592900,85,306,1577336,7335168,4
3,38,892860,63,785,2419599,11070236,3
1,1,65994,5,50,79928,282162,5
3,31,245086,62,361,765183,5996454,2
3,33,552662,22,561,661133,8597347,12
3,28,633668,74,868,495301,4794160,15
1,5,159005,25,110,519840,1959295,12
3,38,688370,76,342,2518222,10309400,15
3,29,252860,96,164,1904536,5857371,15
2,10,371340,45,365,843790,3983045,9
3,38,325926,63,228,989786,6488132,11
3,33,757361,77,957,874984,7983591,6
2,8,98276,40,288,318080,2190392,6
1,3,185139,27,63,429000,1313931,12
2,11,157745,55,247,585293,619217,5
2,21,420273,42,703,1633831,6835699,9
3,30,546270,100,50,1705600,9770100,7
